author,date,source,summary,title,url
PETER BAKER,24/09/2017,the-new-york-times,"While past presidents at least talked about bringing the country together, this president has made a point of attacking everyone from sports stars to the pope.","News Analysis: A Divider Not a Uniter, Trump Widens the Breach",https://www.nytimes.com/2017/09/24/us/politics/trump-divisiveness.html
Michael D. Shear,24/09/2017,the-new-york-times,New York Times New Order Bars Almost All Travel From Seven Countries New York Times Demonstrators protesting the Trump administration's immigration policies in March in Union Square in New York. Credit Eduardo Munoz Alvarez/Agence France-Presse — Getty Images…,New Order Bars Almost All Travel From Seven Countries - New York Times,https://www.nytimes.com/2017/09/24/us/politics/new-order-bars-almost-all-travel-from-seven-countries.html
ALEXANDER BURNS,24/09/2017,the-new-york-times,"President Trump’s scolding of prominent black athletes has touched off a furious national debate on race and patriotism, rattling the world of sports.","News Analysis: Defying Trump, Athletes Intensify Debate on Race and Protest",https://www.nytimes.com/2017/09/24/us/trump-nfl-protest-kaepernick.html
JIM RUTENBERG,24/09/2017,the-new-york-times,"Once a refuge from the worries of the workday, late night TV shows and other avenues of entertainment, like sports, are forcing Americans to take sides.","Mediator: Colbert, Kimmel and the Politics of Late Night",https://www.nytimes.com/2017/09/24/business/colbert-kimmel-and-the-politics-of-late-night.html
Katharine Q. Seelye and Bill Pennington,24/09/2017,the-new-york-times,"New York Times Here's What NFL Fans Think of Trump's Comments and Anthem Protests New York Times Robert Casa, 52, who served in the Air Force and works with computers, rolled out an American flag at his tailgate Sunday before the New England Patriots' game at…",Here's What NFL Fans Think of Trump's Comments and Anthem Protests - New York Times,https://www.nytimes.com/2017/09/24/sports/football/nfl-trump-patriots.html
Julie Hirschfeld Davis,24/09/2017,the-new-york-times,"New York Times Is Trump All Talk on North Korea? The Uncertainty Sends a Shiver New York Times South Koreans at a rail station in Seoul watched Kim Jong-un, the North Korean leader, deliver a statement last week. Mr. Kim called President Trump “deranged.” Cre…",Is Trump All Talk on North Korea? The Uncertainty Sends a Shiver - New York Times,https://www.nytimes.com/2017/09/24/us/politics/trump-north-korea-kim.html
THE EDITORIAL BOARD,24/09/2017,the-new-york-times,"Economically ruined before the storm, without power, electrically or electorally, it, and the Virgin Islands, need full federal aid.",Editorial: Puerto Rico at Rock Bottom After Maria,https://www.nytimes.com/2017/09/24/opinion/editorials/puerto-rico-maria-hurricane.html
Ashley Southall,24/09/2017,the-new-york-times,"New York Times New York Expands Relief Efforts for Puerto Rico After Hurricane Maria New York Times Gov. Andrew M. Cuomo, left, and the actress Jennifer Lopez at an event in Manhattan on Sunday. The governor pledged more aid for Puerto Rico, which suffered bi…",New York Expands Relief Efforts for Puerto Rico After Hurricane Maria - New York Times,https://www.nytimes.com/2017/09/24/nyregion/new-york-puerto-rico-hurricane-maria-relief.html
STEVEN ERLANGER,24/09/2017,the-new-york-times,"Elected to a fourth term as chancellor of Germany, Ms. Merkel wants to put the European Union, post-Brexit and in the age of Trump, on a stable, vigorous path.","Merkel, Reluctant Leader of the West, ‘Has Gotten the Taste for It’",https://www.nytimes.com/2017/09/24/world/europe/germany-merkel-europe.html
STEVEN LEE MYERS and AMY CHENG,24/09/2017,the-new-york-times,"China’s censorship system is expanding forbidden topics far beyond politics, in line with President Xi Jinping’s prim, paternalistic vision for the “China dream.”",68 Things You Cannot Say on China’s Internet,https://www.nytimes.com/2017/09/24/world/asia/china-internet-censorship.html
,24/09/2017,the-new-york-times,The following tax-exempt fixed-income issues are scheduled for pricing this week.,Treasury Auctions Set for the Week of Sept. 25,https://www.nytimes.com/2017/09/24/business/treasury-auctions-set-for-the-week-of-sept-25.html
JOHN WILLIAMS,24/09/2017,the-new-york-times,"The tennis star discusses why she wrote her new memoir, the struggles her father faced during her childhood and more.",Q. & A.: Tell Us 5 Things About Your Book: Maria Sharapova on ‘Unstoppable’,https://www.nytimes.com/2017/09/24/books/review/maria-sharapova-unstoppable-book.html
HENG,24/09/2017,the-new-york-times,Will Kim Jong-un call President Donald Trump’s bluff?,Op-Ed Contributor: Heng on Trump and ‘Rocket Man’,https://www.nytimes.com/2017/09/24/opinion/trump-north-korea-rocket-man-.html
SAMUEL G. FREEDMAN,24/09/2017,the-new-york-times,The sport was not incidental to the doctrine of segregation. It was one of the pillars on which it rested.,Op-Ed Contributor: Politics Has Always Had a Place in Football,https://www.nytimes.com/2017/09/24/opinion/football-nfl-take-the-knee-trump.html
KATIE ROGERS,24/09/2017,the-new-york-times,"President Trump and his wife, Melania, leaving Air Force One in Naples, Fla., this month. She has brought some conventionality to a White House that often eschews it.","At Her Own Pace, Melania Trump Tiptoes Into the Limelight",https://www.nytimes.com/2017/09/24/us/politics/melania-trump-first-lady.html
CHARLES McDERMID,24/09/2017,the-new-york-times,Here’s what you need to know to start your day.,"Asia and Australia Edition: North Korea, Angela Merkel, N.F.L: Your Monday Briefing",https://www.nytimes.com/2017/09/24/briefing/kim-jung-on-angela-merkel-nfl.html
BROOKS BARNES,24/09/2017,the-new-york-times,"From left, Amanda Lepore, Nyakim Gatwech and Grae Drake, three models for a nurse-themed blood drive promotion, “All Types Welcome,” for the latest “Saw” movie. The campaign was designed to push back against restrictions on L.G.B.T. donors.",Movie’s Ads Protest Rules Aimed at Gay Men Donating Blood,https://www.nytimes.com/2017/09/24/business/media/saw-blood-donations-gay.html
,24/09/2017,the-new-york-times,Readers talk about reversing and understanding a trend in the developing world.,Letters: Big Food and Rising Obesity in Brazil,https://www.nytimes.com/2017/09/24/opinion/food-obesity-brazil.html
Kevin Draper,25/09/2017,the-new-york-times,New York Times Reading Something in the NFL Ratings? You're Probably Wrong New York Times Baltimore Ravens players kneeling during the national anthem before their game against the Jacksonville Jaguars in London. Credit Matt Dunham/Associated Press. Nielsen's…,Reading Something in the NFL Ratings? You're Probably Wrong - New York Times,https://www.nytimes.com/2017/09/25/sports/football/nfl-ratings-trump.html
SALLY L. SATEL,25/09/2017,the-new-york-times,The former congressman stood before a judge and offered no excuse for the behavior that sprang from his addiction.,Op-Ed Contributor: Why I Admire Anthony Weiner,https://www.nytimes.com/2017/09/25/opinion/weiner-sexting-sentencing-prison.html
THE EDITORIAL BOARD,25/09/2017,the-new-york-times,The former congressman’s imprisonment for sexting with a teenager is his final disgrace. But the damage he caused lives on.,Editorial: The Wreckage of Anthony Weiner,https://www.nytimes.com/2017/09/25/opinion/anthony-weiner-sentencing-sexting.html
By NICHOLAS BAKALAR,25/09/2017,the-new-york-times,Older people who are in a good mood when they get a flu shot have a better immune response.,An Upbeat Mood May Boost Your Flu Shot?s Effectiveness,https://www.nytimes.com/2017/09/25/well/live/an-upbeat-mood-may-boost-your-flu-shots-effectiveness.html
Yamiche Alcindor,25/09/2017,the-new-york-times,"Supported by Politics Republicans Present Conservative Vision for ‘Dreamer’ Protection WASHINGTON — Three Republican senators introduced a bill on Monday that would offer young undocumented immigrants a path to citizenship, signaling a possible bipartisan con…",Republican Senators Push 'Dreamer' Protection...,https://www.nytimes.com/2017/09/25/us/politics/republicans-daca-citizenship.html
TIFFANY HSU,25/09/2017,the-new-york-times,"Target, which plans to raise base pay to $15 an hour by 2020, aims to hire 100,000 seasonal workers during a tight labor market for retailers.",Target Raises Base Pay to $11 an Hour Heading Into Holidays,https://www.nytimes.com/2017/09/25/business/target-base-pay.html
CLIFFORD KRAUSS,25/09/2017,the-new-york-times,"An operator checking a pipeline at Sabine Pass, Tex., for gas leaks in 2014. The pipeline serves a terminal that may be converted from importing to exporting gas because of a domestic production boom.","Exxon Aims to Cut Methane Leaks, a Culprit in Global Warming",https://www.nytimes.com/2017/09/25/business/energy-environment/exxon-methane-leaks.html
THOMAS KAPLAN,25/09/2017,the-new-york-times,"Senator Susan Collins of Maine announced her opposition to the latest bill to repeal the Affordable Care Act, leaving party leaders short of the votes they need.",Health Bill Appears Dead as Pivotal G.O.P. Senator Declares Opposition,https://www.nytimes.com/2017/09/25/us/politics/obamacare-repeal-susan-collins-dead.html
MICHELLE GOLDBERG,25/09/2017,the-new-york-times,A protest in December outside the Pennsylvania Capitol while electors in the Electoral College arrived to cast their votes.,Op-Ed Columnist: Tyranny of the Minority,https://www.nytimes.com/2017/09/25/opinion/trump-electoral-college-minority.html
KAREN ZRAICK and SANDRA STEVENSON,25/09/2017,the-new-york-times,Here’s what you need to know at the end of the day.,"North Korea, N.F.L., Puerto Rico: Your Monday Evening Briefing",https://www.nytimes.com/2017/09/25/briefing/north-korea-nfl-puerto-rico.html
PATRICK CHAPPATTE,25/09/2017,the-new-york-times,Angela Merkel made history on Sunday. So did the far-right.,Op-Ed Columnist: After the German Election,https://www.nytimes.com/2017/09/25/opinion/columnists/merkel-german-election-afd.html
FLORENCE FABRICANT,25/09/2017,the-new-york-times,Chinese chile oil from Blank Slate Kitchen adds numbing fire to recipes.,Front Burner: A Condiment That Brings the Heat,https://www.nytimes.com/2017/09/25/dining/szechuan-chili-oil-blank-slate-kitchen.html
THE NEW YORK TIMES,25/09/2017,the-new-york-times,"A woman at the Da’wah Institute in St. Paul in 2010. The Twin Cities are home to many immigrants from Somalia, one of the countries named in President Trump’s new travel ban.","Around the World and the U.S., New Travel Ban Draws Anger, Applause and Shrugs",https://www.nytimes.com/2017/09/25/us/travel-ban-reaction.html
TERESA FAZIO,25/09/2017,the-new-york-times,"The graduation of the first woman from the Marine Corps’ grueling Infantry Officer Course is momentous. Soon, I hope, it will be no big deal.",Op-Ed Contributor: The Thickest Glass Ceiling in the Marine Corps Breaks,https://www.nytimes.com/2017/09/25/opinion/marine-corps-women-.html
ANA SWANSON,25/09/2017,the-new-york-times,"A Boeing 747 being assembled in Everett, Wash. Boeing contends that Bombardier, a Canadian jet maker, was able to sell aircrafts in the United States at unfairly low prices because of Canadian government subsidies.","In Trump Era, Boeing Trade Case Boils Over Into ‘Multicountry Feud’",https://www.nytimes.com/2017/09/25/business/boeing-commerce-department-bombardier-trump.html
FLORENCE FABRICANT,25/09/2017,the-new-york-times,Murray’s Clothbound Cheddar is made from ingredients from New York State and aged for a year.,Front Burner: A New York Cheddar Aged to Perfection,https://www.nytimes.com/2017/09/25/dining/new-york-cheddar-murrays-cheese.html
ANNA DUBENKO,25/09/2017,the-new-york-times,"Read about how the other side thinks about President Trump’s statements on free speech, the national anthem, the flag as well as responses from football players and owners.",Right and Left React to the N.F.L. Protests and Trump Statements,https://www.nytimes.com/2017/09/25/us/politics/right-left-nfl-protests-trump.html
FLORENCE FABRICANT,25/09/2017,the-new-york-times,"These olive-wood utensils and their holder are imported from Abruzzo, Italy.",Front Burner: Olive Wood Utensils Make an Attractive Addition to the Table,https://www.nytimes.com/2017/09/25/dining/olive-wood-utensils-italy.html
FLORENCE FABRICANT,25/09/2017,the-new-york-times,"Ballantine House, in Newark, will provide inspiration — and instruction — for budding home brewers.",Front Burner: A Crisp Refresher Course in Home-Brewing,https://www.nytimes.com/2017/09/25/dining/beer-making-newark-museum-ballantine.html
ED O’LOUGHLIN,26/09/2017,the-new-york-times,Abortion-rights supporters outside Parliament in in Dublin in 2013. A vote on Ireland’s constitutional ban on abortion will be held next year.,"Irish to Vote on Abortion Ban, and Expect a Contentious Debate",https://www.nytimes.com/2017/09/26/world/europe/ireland-abortion-ban-referendum.html
SAM ROBERTS,26/09/2017,the-new-york-times,"A Republican champion of the coal industry, he delivered for his Scranton-area constituents and survived ethics charges, of which he was acquitted.","Joseph M. McDade, 18-Term Pennsylvania Congressman, Dies at 85",https://www.nytimes.com/2017/09/26/us/politics/joseph-mcdade-dead-18-term-pennsylvania-representative.html
"HELENE COOPER, MICHAEL D. SHEAR and DIONNE SEARCEY",26/09/2017,the-new-york-times,"Experts on Africa in the Trump administration said they were mystified by the ban on travel from Chad, an American counterterrorism partner in Africa.","Chad’s Inclusion in Travel Ban Could Jeopardize American Interests, Officials Say",https://www.nytimes.com/2017/09/26/world/africa/chad-travel-ban-american-interests.html
MARGOT SANGER-KATZ,26/09/2017,the-new-york-times,People with Medicaid and employer plans need not worry about big policy changes. But the individual insurance market will be marked by high prices and limited choices next year.,Public Health: How the Failure of Obamacare Repeal Affects Consumers,https://www.nytimes.com/2017/09/26/upshot/how-the-failure-of-obamacare-repeal-affects-consumers.html
Yamiche Alcindor,26/09/2017,the-new-york-times,"New York Times Paul Manafort Expects to Be Indicted, Longtime Trump Adviser Says New York Times Roger J. Stone Jr., an informal adviser to President Trump, testified before a closed session of the House Intelligence Committee on Tuesday. Credit Al Drago for T…","Paul Manafort Expects to Be Indicted, Longtime Trump Adviser Says - New York Times",https://www.nytimes.com/2017/09/26/us/politics/roger-stone-testimony-paul-manafort.html
The Editorial Board,26/09/2017,the-new-york-times,"New York Times A Corruption Case Worth Repeating New York Times Dean Skelos and his son Adam leaving court in 2015, after being convicted of corruption. Credit Andrew Renneisen for The New York Times. A federal appeals court decision to overturn the 2015 corr…",A Corruption Case Worth Repeating - New York Times,https://www.nytimes.com/2017/09/26/opinion/editorials/dean-skelos-corruption-case-.html
GLENN THRUSH,26/09/2017,the-new-york-times,The proposal is an attempt to answer wealthy donors’ demands for lower taxes without being seen as a windfall for the rich by the president’s base.,Trump to Propose Big Tax Cut for Corporations and Individuals,https://www.nytimes.com/2017/09/26/us/politics/trump-tax-cut-corporations-individuals.html
LISA FRIEDMAN,26/09/2017,the-new-york-times,"The Environmental Protection Agency has signed a contract for a secure communications booth for the office its administrator, Scott Pruitt.","E.P.A. to Spend Nearly $25,000 on a Soundproof Booth for Pruitt",https://www.nytimes.com/2017/09/26/climate/pruitt-epa.html
KAREN ZRAICK and SANDRA STEVENSON,26/09/2017,the-new-york-times,Here’s what you need to know at the end of the day.,"Republican Party, Puerto Rico, North Korea: Your Tuesday Evening Briefing",https://www.nytimes.com/2017/09/26/briefing/republican-party-puerto-rico-north-korea.html
Nicholas Fandos,26/09/2017,the-new-york-times,"New York Times Bills to Protect Mueller Are Bipartisan, but the Path Forward Is Uncertain New York Times Senator Charles E. Grassley, left, Republican of Iowa and the chairman of the Judiciary Committee, said that he saw an important role for Congress to over…","Bills to Protect Mueller Are Bipartisan, but the Path Forward Is Uncertain - New York Times",https://www.nytimes.com/2017/09/26/us/politics/mueller-russia-senate-judiciary-committee.html
DAISUKE WAKABAYASHI,26/09/2017,the-new-york-times,The editorial head of a socialist website complained that Google is censoring the internet by curbing search traffic to his publication.,"As Google Fights Fake News, Voices on the Margins Raise Alarm",https://www.nytimes.com/2017/09/26/technology/google-search-bias-claims.html
JULIE HIRSCHFELD DAVIS and MIRIAM JORDAN,26/09/2017,the-new-york-times,"Syrian families waited to register at the United Nations High Commissioner for Refugees headquarters in Beirut, Lebanon, in January.","Trump Plans 45,000 Limit on Refugees Admitted to U.S.",https://www.nytimes.com/2017/09/26/us/politics/trump-plans-45000-limit-on-refugees-admitted-to-us.html
